,AgencyName,LegalStatus,OfficePhone,EMail,Website,Address,Neighbourhood,Accessibility,Hours,Eligibility,Languages,Application,DescriptionService,DateUpdated
55,COSTI Immigrant Services,(50) Non Profit ; (51) Registered Charity,416-244-7714,famcounselling@costi.org,www.costi.org,"Sheridan Mall
1700 Wilson Ave, Ste 105
Toronto, ON     M3L 1B2","Downsview-Roding-CFB, 26",Partially accessible -- call for details,Mon-Fri 8:30 am-4:30 pm * Wed evening appointments available,"Open to all, with a focus on newcomer or ethnocultural  communities",English ; Italian ; Spanish,Call for appointment,"Counselling -- individual, marital, family * family violence -- counselling, support group for assaulted women * trauma group for Spanish-speaking women * mental health clinic with psychiatrist * includes family support, mental health education * Learning Together Women's Depression Group -- psychoeducational group for women diagnosed with depression * cross-cultural training and consultation to other agencies * Advice Lawyer --  Legal Aid clinic for summary advice Wednesday 5 pm-6 pm by appointment
<br><br>
<b>Passi Nuovi</b> (Partner Abuse Response Program), individual and group intervention program for abusive men * for offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence * 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict * victims/partners provided with support including safety planning, referrals to community resources, and information on offender’s progress
<br><br>
<b>Problem Gambling Program</b> -- individual, marital and family, group and telephone counselling to identify and treat problem gambling * Family Education workshops * referrals * prevention activities",42083
56,Anishnawbe Health Toronto,(50) Non Profit ; (51) Registered Charity,416-657-0379,info@aht.ca,www.aht.ca,"22 Vaughan Rd
Toronto, ON     M6G 2N1","Wychwood, 94","Wheelchair accessible automatic main entrance ; Wheelchair accessible washroom, assistance needed with door ; Limited street parking",Mon-Fri 9 am-5 pm * Intake Mon-Fri 9 am-4 pm * Mental Health Crisis Line -- Mon-Sun 24 hours,Aboriginal ancestry,English ; some Aboriginal languages,Call or drop in * no referral required,Mental health and addiction services based on Aboriginal culture and traditions * 20-week day program * assessment * counselling * support groups,42144
57,Yorktown Child and Family Centre,(50) Non Profit ; (51) Registered Charity,416-394-2424,info@yorktownfamilyservices.com,www.yorktownfamilyservices.com,"2010 Eglinton Ave W, Ste 300
Toronto, ON     M6E 2K3","Briar Hill-Belgravia, 108","Wheelchair accessible automatic main entrance ; Easy access to elevator - side door ; Elevator with lowered buttons ; Wheelchair accessible washroom, assistance needed with door","Mon-Thu 9 am-8 pm, Fri 9 am-5 pm",Children and youth birth-18 years and their families or caregivers,English ; Interpreters for other languages arranged as needed * specific programs in Somali and Spanish,Contact intake worker or walk in (see separate entry for What's Up Walk-in Counselling Services),"Children's mental health centre * outreach and consultation to schools, community centres, parks and recreation * school-based programs * service of Yorktown Family Services<br><br>

<b>Early intervention and treatment</b>:<br>
Mental health services for children birth-6 years * counselling for children 7-18 years and their caregivers * trauma focused cognitive behavioural therapy assessment and treatment * support and counselling for youth and families involved with, or at risk of being involved with child welfare * <b>What's Up Walk-in Counselling Services</b> -- see separate entry<br><br>

<b>Group programs for children, youth, and parents</b>:<br>
Double T -- temper management for children 7-12 years * Coping Cats -- anxiety management for children 7-12 years * Girl Talk -- group counselling for girls 13-16 years * Think First -- group counselling for boys 13-16 years * Cope -- group for parents of children aged birth-6 years * Finding Solutions/Parenting Wisely -- group for parents of adolescents * Mindful Fathering -- for fathers involved with child welfare looking to connect with their families * <b>Supporting Young Families</b> -- see separate entry<br><br>

<b>Prevention</b>:<br>
Community Parent Education (COPE) for parents of children birth-6 years * early years services in the home, school and community * on site Toronto Preschool Speech and Language Services -- see separate entry * Daryeelka Qoyska -- 10 week outreach, family support and education program in the Somali community to improve mother and child relationships, parenting, communication skills and community connections * Here to Help -- group program for children (and their mothers) exposed to woman abuse<br><br>

Anchoring partner in the Jane Street Hub, 1541 Jane St -- youth, parenting and counselling programs * Youth Outreach Worker Program, 416-645-7575 ext 2913, serving Weston-Mount Dennis and Jamestown neighbourhoods",41766
58,Planned Parenthood Toronto,(50) Non Profit ; (51) Registered Charity,416-961-0113,ppt@ppt.on.ca,www.ppt.on.ca,"36B Prince Arthur Ave
Toronto, ON     M5R 1A9","Annex, 95",Not Accessible - office ; Outreach programs accessible - call for details,"<b>Primary health clinic</b> -- Mon-Tue 9:30 am-8 pm; Wed 9:30 am-12 noon, 4 pm-8 pm; Thu 9:30 am-8 pm; Fri 9:30 am-4 pm * by appointment only -- call after 9:30 am for same day appointments * Sat 10 am-2 pm -- drop-in for sexual health matters only on a first-come, first-served basis<br><br>

<b>Telephone access to physician or nurse practitioner</b> -- for current clients only, call Client Access Line 416-961-0113 ext 165 * Mon-Fri 11 am-11:45 am, also Mon-Thu 7:15 pm -8 pm",Youth 13-29 years,English ; Interpretation available by appointment,Call or visit * no referral required,"Community health centre -- primary health, sexual and reproductive health, and mental health care * drop-in clinic * telephone access to physician or nurse practitioner * birth control counselling * emergency contraception * birth control and prescriptions at reduced price * free condoms * pregnancy testing and counselling, including pregnancy options * prenatal care * sexually transmitted infections testing and treatment * anonymous HIV testing * mental health case coordination * individual and group counselling * no Ontario Health Insurance required for general services<br><br>

Also information and referral including assistance finding food, housing, employment and legal aid * assistance obtaining health card * translation and interpretation by appointment",42216
59,"University Health Network, Toronto Western Hospital",(50) Non Profit ; (51) Registered Charity,416-603-5349,,www.uhn.ca,"399 Bathurst St, East Wing, 9th Fl
Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Fri 9:30 am-5:30 pm,Chinese-speaking persons with mental health problems,English ; Chinese (Cantonese) ; Chinese (Mandarin),Physician referral required * self referrals accepted for Early Intervention in Psychosis Program only,"Assessment * culturally and linguistically appropriate outpatient treatment and case management *  pharmacotherapy, psychotherapy and counselling * referral to health and social service agencies * public education
<br>
<br><b>Early Intervention in Psychosis Program, 416-603-5071</b> -- for persons 16-45 years experiencing a first episode of psychosis, including hallucinations and hearing voices",41673
60,Yonge Street Mission,(50) Non Profit ; (51) Registered Charity,416-929-9614,evergreen@ysm.ca,www.ysm.ca,"381 Yonge St
Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75","Wheelchair accessible washroom, assistance needed with door ; Wheelchair accessible main entrance and ground floor, assistance needed with door",Office -- Mon-Fri 9 am-5 pm * appointments only Mon-Fri 9 am-12 noon * meals and programs -- Mon-Fri 1 pm-5 pm *  Out of the Cold evening meal -- October to May (see separate entry),Street youth 16-24 years,English ; Portuguese ; Spanish,,Drop-in centre * hot meals * informal and formal counselling  * shower and laundry facilities * access to emergency clothing * referrals and advocacy * legal advice * ID clinic * other specialized programs,41683
61,Delisle Youth Services,(50) Non Profit ; (51) Registered Charity,416-394-2010,dayprogram@delisleyouth.org,www.delisleyouth.org,"George Harvey Collegiate Institute
1700 Keele St, 3rd Fl
Toronto, ON     M6M 3W5","Keelesdale-Eglinton West, 110",Not Accessible,"Mon-Tue, Thu-Fri during school hours * Wed morning only",Youth 14-19 years with mental health problems who are unable to function in the mainstream school system,English,Call or email,Educational and therapeutic learning experience * academic program in conjunction with Toronto District School Board (see separate entry) * individual counselling * social and recreation activities * family support * follow up * summer program,42334
62,Chai-Tikvah Foundation,(50) Non Profit ; (51) Registered Charity,416-665-0482,sue@chaitikvah.org,www.lifeandhope.ca,"37 Stonedene Blvd
Toronto, ON     M2R 3C6","Westminster-Branson, 35",Not Accessible ; Entrance close to parking,,"Men and women 16 years and older with a history of psychiatric disability * assessment criteria at <a href=""http://www.chaitikvah.org/admissions.php"">www.chaitikvah.org/admissions</a>",English ; Hebrew ; Russian ; Yiddish,"Supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Affordable level I group home * capacity 8 * case manager, psychiatrist * 24 hour staff support * indefinite stay * counselling * referrals * Jewish environment * kosher food * programs include building self-esteem, stress management, improving social interaction and practical skills such as cooking, money management, household cleaning, decision-making, goal setting, use of medication * day trips and social club",42298
63,Hong Fook Mental Health Association,(50) Non Profit ; (51) Registered Charity,416-493-4242 ext 0,info@hongfook.ca,www.hongfook.ca,"1751 Sheppard Ave E, Ground Fl
Toronto, ON     M2J 0A4","Henry Farm, 53",Wheelchair accessible - call for information,Mon-Fri 9 am-5 pm,"Community education -- open to all * all other programs -- consumers/survivors and their families of Cambodian, Chinese, Korean or Vietnamese descent, who are 16 years and older and have difficulty accessing other mental health services * Supportive Housing Program -- for consumer/survivors who are able to live independently with support",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Khmer ; Korean ; Vietnamese,"Call 416-493-4242 ext 0 for information * supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Client services -- information and referral, short term supportive counselling and case management * advocacy * leadership and life skills training * Supportive Housing Program - see eligibility above * psychosocial recreation and education activities * peer support and self help groups * support groups for family members * volunteer development<br> <br> 

General community education -- holistic health education * mental health promotion * consultation and educational services to agencies and professionals on ethno-racial mental health issues",42380
64,Regesh Family and Child Services,(50) Non Profit ; (51) Registered Charity,416-495-8832,eschild@regesh.com,www.regesh.com,"149 Willowdale Ave
Toronto, ON     M2N 4Y5","Willowdale East, 51",Wheelchair accessible - call for details,Mon-Fri 8 am-6 pm * evening hours as required,"Individuals 4-70 years, including children, youth, couples and families",English,Call for appointment,"Counselling and family support services * court diversion services * outreach to street youth<br> 
<br> 
<b>Anger Management Clinic <a href=""http://www.regeshangerclinic.com "">www.regeshangerclinic.com </a></b> -- 10 week individual or group course on personal control for children, youth and adults<br> 
<br>
<b>Family Support Program</b> -- diagnosis and treatment planning * crisis intervention * individual therapy for children, youth and adults * strategies for enriching school performance * child management sessions * aftercare follow-up for youth discharged from residential centres or foster care * parenting courses for teen mothers and families with young children or teens<br> 
<br> 
<b>High on Success (HOS) Mentor Program</b> -- day program for youth 15-24 years who are homeless, unemployed and/or not in school * day program includes social and life skills training, self-esteem enhancement, decision making, conflict resolution, peer relationships, interpersonal communication * drug awareness and harm reduction * homework club * field trips and other social activities * youth mentor training<br>
<br>
<b>Play Therapy Program</b> -- for children 4-12 years who are coping with grief and loss, serious illness of a family member, adoption or foster care, bullying, abuse, violence, poor self-esteem<br>
<br>
<b>Reconnecting Youth</b> -- school based life skills program for at risk youth peer groups<br>
<br>
Also Professional Consultation and Support Program for community agencies",42130
65,YMCA of Greater Toronto,(50) Non Profit ; (51) Registered Charity,416-603-6366,,www.ymcagta.org,"Vanauley Street YMCA
7 Vanauley St
Toronto, ON     M5T 2V9","Kensington-Chinatown, 78",Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Street parking,Mon-Fri 9:30 am-5 pm * program hours vary -- call for details,Youth and young adults 16-24 years,English ; Interpreters may be available for other languages,Call or drop-in,"Drop-in * breakfast, lunch * substance abuse and gambling awareness programs * ID clinic * employment counselling * mental health counselling and crisis intervention * visiting nurse * housing support services",42404
66,Alternatives: East York Mental Health Counselling Services Agency,(50) Non Profit ; (51) Registered Charity,416-285-7996,info@alternativestoronto.org,www.alternativestoronto.org,"1245 Danforth Ave, Ground Fl, Unit 2
Toronto, ON     M4J 1M8","Greenwood-Coxwell, 65",Wheelchair accessible - call for assistance ; Barrier free washroom ; Street parking,Mon-Fri 9 am-5 pm * flexible for client meetings,"Persons 16 years and older with serious, longstanding mental health problems",English ; Hindi ; Malayalam ; Tamil,"Call or walk in * self referral strongly encouraged * case management -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Community mental health program * consumer/survivor participation in all aspects of agency * case management/community support * advocacy * education * supportive counselling * groups * links with other services * information and referral<br> <br> 

<b>Consumer/Survivor and Family Community Development Project</b> -- supports consumer/survivor and family involvement in community mental health reform * promotes and develops community mental health supports",42157
67,East Metro Youth Services,(50) Non Profit ; (51) Registered Charity,Intake Coordinator 416-438-3697 ext 403,emys@emys.on.ca,www.emys.on.ca,"1200 Markham Rd, Ste 200
Toronto, ON     M1H 3C3","Woburn, 137",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Office -- Mon-Thu 9 am-8 pm, Fri 9 am-5 pm * program hours vary, call for details<br><br>

<b>What’s Up Walk-In Mental Health Clinic</b> -- Mon-Thu 2 pm-8 pm (last appointment registration 7 pm), Fri 10 am-5 pm (last appointment registration 4 pm), Sat 10 am-2 pm  (last appointment registration 1 pm) * call for information on specific evenings available for LGBTQ youth","Programs vary, call for details",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Dari ; Farsi ; Tamil ; will arrange for interpretation in other languages if necessary,Call or walk in * <b>What’s Up Walk-In Mental Health Clinic</b> -- no appointment or Ontario Health Insurance required,"Counselling and case management services, including intensive mental health interventions<br><br>

<b>Home-based Counselling</b> -- intensive home-based individual and family counselling, including <b>Intensive Child and Family Services (ICFS)</b> and <b>Priority Access for Child Welfare</b> programs<br><br>

<b>Transitional Support</b> -- admission and discharge planning case management for youth admitted to psychiatric unit at Rouge Valley Health System and Rouge Valley Centenary -- see separate entries<br><br>

<b>What’s Up Walk-In Mental Health Clinic</b> -- single session, brief solution focused therapeutic counselling for children, youth and young adults, and their families * concerns may include addiction, depression, anxiety, suicidal and self-harming behaviour, bullying and conflict at school, identity and sexuality including gender identity and sexual orientation, family conflict, body image and behavioural concerns, youth justice issues, grief and bereavement * in partnership with Oolagen Community Services and Yorktown Child and Family Centre (see separate entries) and other community agencies<br><br>

<b>Whatever It Takes (WIT) Program</b> -- for children and youth birth-18 years * service navigation and interim case management for complex cases * in partnership with Griffin Centre -- see separate entry",42159
68,SPOT Art and Technology Centre,(50) Non Profit,,info@malvernspot.ca,www.malvernspot.ca,"Toronto Public Library, Malvern Branch
30 Sewells Rd
Toronto, ON     M1B 3G5","Malvern, 132",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking,Mon-Fri 3 pm-8:30 pm,Youth and young adults 13-25 years,English,Email or visit website for information,"Youth centre * leadership, literacy, computer access * health and mental health education * youth lounge, recreation and social opportunities * performance space and recording studio * ProTech Media Centre -- multimedia computer lab * programming may vary -- email for details<br><br>

Partnership of Toronto Public Library, City of Toronto (see separate entries) and local community agencies",42276
69,Good2Talk,(50) Non Profit,,info@good2talk.ca,www.good2talk.ca,,,Not Applicable,Mon-Sun 24 hours,Postsecondary students,English ; French ; Interpreters available for other languages,Call for inquiries - no text service,"Telephone counselling * mental health and addiction information, professional counselling, and referral on a wide range of services on and off campus * anonymous and confidential<br><br>

Partnership of Kids Help Phone, ConnexOntario Health Services Information and Ontario 211 Services (see separate entries), and Ontario Centre of Excellence for Child and Youth Mental Health * funded by Ontario Ministry of Training, Colleges and Universities",42298
70,Toronto Mental Health and Addictions Access Point,(50) Non Profit,416-640-1934,info@theaccesspoint.ca,theaccesspoint.ca,"661 Yonge St, 4th Fl
Toronto, ON     M4Y 1Z9","Church-Yonge Corridor, 75",Easy access to elevator ; Barrier-free washroom including door and stall ; Wheelchair accessible - call for details,Administration -- Mon-Fri 9 am-4:30 pm,"Individuals 14 years and older, who are experiencing serious, life-affecting mental health or concurrent mental health and addiction problems -- may vary by program, see service description for details * must live within the City of Toronto to receive services","English ; Interpretation may be available for other languages, varies by agency","Call, or visit website for information, intake procedures and list of participating agencies * visit website to apply online or download application form * application may be made from outside the City of Toronto but must live within City of Toronto to receive services","Coordinated intake for intensive case management, assertive community treatment teams, early psychosis intervention, and supportive housing * coordinated access to participating mental health and supportive housing agencies<br>
<br>
<b>Individual support services:</b><br>
<b>Intensive Case Management</b> -- one-on-one support for individuals with serious mental illness, who require individual case management support to live in the community * links to appropriate services<br>
<br>
<b>Assertive Community Treatment Teams (ACTT)</b> -- treatment, rehabilitation and support for individuals with severe mental health diagnosis, particularly psychosis, and with a history of hospitalization * multidisciplinary team<br>
<br>
<b>Supportive housing:</b><br>
<b>Mental Health Supportive Housing Program</b> -- links to supportive housing with various levels of support including shared or independent housing, for individuals with mental health or mental health and addiction issues * must qualify for housing subsidy<br>
<br>
<b>Problematic Substance Use Program</b> -- links to low support independent housing for individuals with severe substance use, who are homeless or under housed * must qualify for housing subsidy<br>
<br>
<b>Mental Health and Justice Program</b> -- links to low support independent housing for individuals with serious mental health challenges, who are homeless or at risk of homelessness, and who have current involvement with the Criminal Justice system at time of intake * referral by priority referral source such as justice system professionals * must qualify for housing subsidy",42241
71,Oolagen Youth Mental Health,(50) Non Profit ; (51) Registered Charity,416-395-0668,,www.oolagen.org,"591 Huron St
Toronto, ON     M5R 2R8","Annex, 95",Not Accessible,,Young men and women 13-18 years who require residential treatment,English,Call for information,Residential treatment * life skills * emotional counselling * capacity 7,42237
72,Yonge Street Mission,(50) Non Profit ; (51) Registered Charity,416-929-9614 ext 2238,healthcentre@ysm.ca,www.ysm.ca,"381 Yonge St
Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75","Wheelchair accessible main entrance and ground floor, assistance needed with door ; Barrier-free washroom",Health Centre -- Mon-Fri 1 pm-4:30 pm * office -- Mon-Fri 9 am-5 pm,"Street involved and homeless youth only * 24 years and under (no minimum age) * also children, infants of street youth",English,"Walk in only, no appointments","Health services including primary medical care and dental care, check ups, lab tests, including HIV testing * birth control, pregnancy tests, immunization, prenatal care, perinatal services, prenatal and parenting classes * dental care * optometry, eye glasses * chiropractor * nutritionist * physiotherapist * psychiatrist * addictions counselling * traditional Chinese medicine * foot care, socks and shoes * health education * counselling on health issues * referrals * ID replacement * access to diapers, formula, baby food * no Ontario Health Insurance or identification required * child care available",41866
73,Horizons for Youth,(50) Non Profit ; (51) Registered Charity,416-781-9898,info@horizonsforyouth.org,www.horizons4youth.org,"422 Gilbert Ave
Toronto, ON     M6E 4X3","Caledonia-Fairbank, 109","Designated parking at entrance - rear of building ; Street parking limited to 1 hour ; Easy access to elevator ; Barrier-free washroom including door and stall ; Wheelchair accessible main entrance, assistance needed with door ; Doors lock electronically",Mon-Sun 24 hours,Young men and women 16-24 years who are homeless or transient,English ; other languages accommodated,Call for referral,"Emergency shelter and short term housing program * capacity 35 * length of stay depends on plan * food packages * meals * clothing * personal needs * emotional support * informal counselling * access to housing worker * life skills training, crisis intervention, housing workshops * community referrals * aftercare support * day programs, drop-in services, clinical referral and assessment, case management, advocacy",42156
74,Abrigo Centre,(50) Non Profit ; (51) Registered Charity,416-534-3434,info@abrigo.ca,www.abrigo.ca,"1645 Dufferin St
Toronto, ON     M6H 3L9","Corsa Italia-Davenport, 92","Wheelchair accessible main entrance, assistance needed with door ; Street parking",Mon-Fri 9 am-5 pm *  evenings by appointment only,"Open to all with focus on Portuguese-speaking communities * Partner Assault Response -- offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence",English ; Portuguese,Call to schedule an intake/assessment meeting,"Multiservice agency * liaison with Portuguese-speaking communities<br><br>

<b>Community development</b> -- information and referral, assistance with forms * youth programs including school outreach workshops * settlement and orientation for newcomers * community education and information * seniors recreation program<br><br>

<b>Counselling services</b> -- individual and family counselling * individual and group counselling for women and children who are victims or witnesses of abuse * youth services include counselling, life skills, advocacy * Success by Six parenting group for Portuguese-speaking mothers with children birth-6 years * PAIS parenting group for Portuguese-speaking fathers<br><br>

<b>Partner Assault Response (PAR)</b> -- 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict * victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offender’s progress",42131
75,Anishnawbe Health Toronto,(50) Non Profit ; (51) Registered Charity,416-360-0486,info@aht.ca,www.aht.ca,"225 Queen St E
Toronto, ON     M5A 1S4","Moss Park, 73",Wheelchair accessible building including main entrance and barrier free washrooms * wheelchair lift to second floor and basement * street parking,"Mon, Wed 9 am-8 pm, Tue, Thu-Fri 9 am-5 pm * some on call services -- call for details",Aboriginal ancestry,English ; some Aboriginal languages,Call or drop in,"Culture-based traditional health care provided by Traditional Healers, Elders, Medicine People * primary health care provided by physicians, nurse practitioners, chiropractors, naturopaths, chiropodist, physiotherapist * health counselling and promotion * diabetes prevention, education and support * Fetal Alcohol Spectrum Disorder -- diagnosis, assessment, support groups, referrals * traditional cultural programs for children and youth in care or child protection services * prenatal and postnatal care * infant and child development assessments * anonymous HIV testing * no Ontario Health Insurance required for general services",42144
76,LAMP Community Health Centre,(50) Non Profit ; (51) Registered Charity,416-251-8666,deborahq@lampchc.org,www.lampchc.org,"2970 Lake Shore Blvd W, Main Fl
Toronto, ON     M8V 1J7","New Toronto, 18","Wheelchair accessible washroom, assistance needed with door ; Wheelchair accessible main entrance, assistance needed with door",Office -- Mon-Fri 9 am-5 pm * program hours vary,Adults 18-65 years with recurring or persistent mental health problems,English,Self referral encouraged * call for appointment,"Community mental health centre * education workshops promoting mental, physical and social health, healthy lifestyle activities and planning, connecting with the community, information and referral * social and recreational activities",42136
77,Consumer/Survivor Information Resource Centre of Toronto,(50) Non Profit,416-595-2882,csinfo@camh.ca,www.csinfo.ca,"1001 Queen St W
Toronto, ON     M6J 1H4","Niagara, 82",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features - lowered buttons ; Barrier-free washroom including door and stall,Office -- Mon-Fri 9 am-5 pm * drop-in -- Mon-Fri 9 am-4 pm,Open to anyone * priority to persons with mental health or addiction issues * <b>income tax clinic -- persons with mental health or addiction issues only</b>,English,No referral required,"Information, assistance and referral related to mental health or addiction services, by phone or in person * non-lending video and print library * free newsletter * <b>year-round income tax clinic for people with mental health or addiction issues only</b>",42404
78,Hong Fook Mental Health Association,(50) Non Profit ; (51) Registered Charity,416-493-4242 ext 0,info@hongfook.ca,www.hongfook.ca,"130 Dundas St W, 3rd Fl
Toronto, ON     M5G 1C3","Bay Street Corridor, 76",Easy access to elevator ; Wheelchair accessible main entrance ; Barrier free washroom,Mon-Fri 9 am-5 pm,"Community education -- open to all * all other programs -- consumers/survivors and their families of Cambodian, Chinese, Korean or Vietnamese descent who are over 16 years and have difficulty accessing other mental health services * Supportive Housing Program -- for consumer/survivors who are able to live independently with support",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Khmer ; Korean ; Vietnamese,"Call 416-493-4242 ext 0 for information * supportive housing -- apply through Access Point, call 1-888-640-1934 or visit www.theaccesspoint.ca to download application","Client services -- information and referral, short term supportive counselling and case management * advocacy * leadership and life skills training * Supportive Housing Program - see eligibility above * psychosocial recreation and education activities * peer support and self help groups * support groups for family members * volunteer development<br>
<br>
General community education -- holistic health education * mental health promotion * consultation and educational services to agencies and professionals on ethno-racial mental health issues",42380
79,"Canadian Mental Health Association, Toronto Branch",(50) Non Profit ; (51) Registered Charity,416-289-6285,info@cmha-toronto.net,www.toronto.cmha.ca,"1200 Markham Rd, Ste 500
Toronto, ON     M1H 3C3","Woburn, 137",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 8 am-4 pm,"Persons 16 years and older with serious mental health illness * <b>Newcomer Women's Wellness Program</b> -- women who are socially isolated, experiencing cultural and linguistic barriers, and/or at risk of mental health problems due to life circumstances * <b>Transitional Youth Program</b> -- youth 16-24 years who are diagnosed with schizophrenia or mood disorders","English ; Interpretation service available for most languages ; Rehabilitation Action Program - Dari, English, Pashto, Somali, Tamil","Call 416-289-6285 ext 243 or email tmckay@cmha-toronto.net for intake * Info, Intake and Referral -- call or email","<b>Case Management Services</b> -- for persons with serious mental illness who require support to live and work in the community * assistance in meeting basic needs (food, shelter, finances), developing skills and accessing community resources<br>
<br>
<b>Community Treatment Order (CTO) Case Management Services, 416-289-6285 ext 282</b> -- intensive case management for persons on Community Treatment Orders with serious mental illness who require support to live and work in the community * assistance in improving life skills, meeting basic needs (food, shelter, finances), accessing community resources, and participating in work and social opportunities<br>
<br>
<b>Employment Services, 416-789-7957 ext 228</b> -- access to employment and training for people with mental health illness * comprehensive employment assistance, employment preparation, job coaching, and employment placement and support * includes consumer operated catering and cleaning business<br>
<br>
<b>Info, Intake and Referral, 416-289-6285 ext 243</b> -- telephone information on community support and treatment * referrals to appropriate programs and community agencies<br>
<br>
<b>Mental Health Court Support and Diversion Program</b> -- Metro East (Scarborough) Court 416-285-4177 * diversion of individuals with serious mental illness from the court system to mental health and community support services * court support worker assistance * consultation available for individuals who do not qualify for diversion -- referrals to mental health and support services to facilitate bail or assist with sentencing<br>
<br>
<b>NAMI Family-to-Family Education Program, 416-789-7957 ext 270</b> -- for family members and friends of people who have serious and persistent mental illness * 12 week course co-taught by trained volunteer family members * includes information about mental illnesses, coping skills for handling crisis and relapse, communication, empathy and listening skills, medications and side effects, self care, rehabilitation, community services and supports, advocacy and fighting discrimination<br>
<br>
<b>New Dimensions and East Metro Assertive Community Treatment Team (ACTT)</b> -- community treatment, rehabilitation and support services for persons with serious mental illness * services provided by multidisciplinary teams<br>
<br>
<b>Newcomer Women's Wellness Program, 416-289-6285 ext 301</b> -- some groups for immigrant or refugee women are language-specific * for Afghan, Greek, Hindi, Jamaican, Polish, Punjabi and Russian groups in Toronto call 416-289-6285 ext 303 * for Somali, Tamil and English groups in Scarborough and the Italian group in North York call 416-289-6285 ext 301 * child care available for some groups * in partnership with other organizations<br>
<br>
<b>Rehabilitation Action Program (RAP)</b> -- intensive and culturally sensitive case management for persons with serious mental illness who experience linguistic and cultural barriers to accessing services * assistance in developing skills to live and work in the community, and to access community resources * also family engagement, education on mental illness and treatment options and support<br>
<br>
<b>Transitional Youth Program (TYP)</b> -- support and assistance in regaining/maintaining age appropriate milestones and minimizing the impact of mental illness * intensive clinical support, therapeutic interventions and case management",42304
80,Lesbian Gay Bi Trans Youth Line,(50) Non Profit ; (51) Registered Charity,416-962-2232,askus@youthline.ca,www.youthline.ca,,,Not Applicable,"Mon-Fri, Sun 4 pm-9:30 pm","Lesbian, gay, bisexual, transgender, transsexual, two-spirited, intersex, queer and questioning youth 26 years and under",English,,"Peer support by telephone, email, text and instant messaging * information and referral * anonymous and confidential * Youth Line Blog * referral database of LGBT (Lesbian, Gay, Bi, Trans) youth services",41716
81,Scarborough Hospital,(50) Non Profit,416-495-2891,skirkup@tsh.to,TSH.to,"3030 Birchmount Rd, 3rd Fl
Toronto, ON     M1W 3W3","L'Amoreaux, 117",Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator with lowered buttons * designated parking,Mon-Sun 24 hours,Persons experiencing acute psychiatric crises,English ; Interpretive services,,"<b>Hospital Crisis Program </b>-- crisis intervention and assessment through the hospital emergency department <br><br>

<b>Mobile Crisis Intervention Team</b> -- crisis assessment and intervention by a Registered Nurse and Police Constable in response to a 911 call",42373
82,Canadian Tamil Youth Development Centre,(50) Non Profit,416-431-4100,info@cantyd.org,www.cantyd.org,"705 Progress Ave, Unit 40
Toronto, ON     M1H 2X1","Woburn, 137",Wheelchair accessible building including main entrance but not washrooms,Mon-Fri 9 am-6 pm,Tamil youth 13-19 years,English ; Tamil,Call or drop in,"Counselling * Youth Mentorship Program -- matching professional adults with a youth having similar interests * annual achievement awards * research * Community Watch program * Directions Magazine<br><br>

<b>Medai Konal</b> -- arts program * promotes creativity and skills development<br><br>

<b>Project Empowerment</b> -- for youth involved in the criminal justice system or in anti-social activities * one-on-one mentoring * volunteer program suitable for Community Service Orders<br><br>

<b>Project THAMIL</b> (Tamils Helping and Motivating to Inspire Leadership) -- mentoring * school outreach workshops * drop-in centres, call for time and locations * parents network * youth projects * girls program * Youth Forum workshops and guest speakers<br><br>

<b>Selvy's Circle</b> -- drop-in for young women 14-18 years * held in various high schools * annual leadership week and annual leadership conference",42422
