PublicName / Nom public,AgencyDescription / Descriptiondelorganisme,PhysicalAddress1 / Adressemunicipale1,PhysicalAddress2 / Adressemunicipale2,UpdatedOn / Misàjourle,LanguageOfRecord / Languedudossier,PhysicalCity / Villephysique,PhysicalStateProvince / Étatprovincephysique,PhysicalPostalCode / Codepostal,Latitude / Latitude,Longitude / Longitude,PhoneNumberBusinessLine / Numérodetéléphonedaffaires,PhoneTollFree / Téléphonesansfrais,PhoneTTY / TéléphoneATS,PhoneFax / Télécopieur,WebsiteAddress / Adressedusite Web,Hours / Heures,DisabilitiesAccess/ Accèspourhandicapés,FeeStructureSource / Sourcedeléchelledestarifs,ApplicationProcess / Processusdedemande,Eligibility / Admissibilité,LanguagesOfferedList / Listedeslanguesoffertes,Coverage / Portée
South Asian Community Health Services  - Youth Counselling,Offers counselling for youth for mental health and other issues.,25 Lady Stewart Boulevard,,Jul  3 2014  7:03:16,English,Brampton,ON,L6S 3Y2,43.7183118,-79.7459123,647-718-0786,,,905-789-6920,http://www.sachservices.net/,Mon 9am-5pm * Tue 9am-5pm * Wed 9am-5pm * Thu 9am-5pm * Fri 9am-5pm *,Partially Accessible,Sliding Scale or Free,Self Referral Documents not specified - inquire for more information,People of South Asian decent and their families or those who identify with South Asian heritage.,"English, Hindi, Punjabi, Tamil, Urdu, French, Sindhi, Malayalam, Arabic","Brampton, Peel"
South Asian Community Health Services  - Youth Counselling,Offre des services de counselling aux jeunes en matière de santé mentale.,25 boulevard Lady Stewart,,Jul  3 2014  7:03:16,French,Brampton,ON,L6S 3Y2,43.7183118,-79.7459123,647-718-0786,,,905-796-3886,www.sachservices.net,Lun 9h-17h * Mar 9h-17h * Mer 9h-17h * Jeu 9h-17h * Ven 9h-17h *,Accessible partiellement,Échelle Mobile ou Gratuit,Accès sans recommandation Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,"Personnes d'origine sud asiatique, personnes qui identifient comme d'origine sud asiatique,, et leurs familles.","anglais, hindi, pendjabi, tamoul, ourdou, français, sindhi, malayalam, arabe","Brampton, Peel"
Somali Centre For Family Services - The Walk-In Counselling Centre,Offers walk-in mental health counselling for those with a variety of mental health issues.,1719 Bank Street,Suite 200,Jun 15 2015  3:16:06,English,Ottawa,ON,K1V 7Z4,45.3744593,-75.6653089,613-526-2075,,,,http://www.scfsottawa.org,Wed 11am-5pm *  Last walk in session is is 1.5 hours before closing time.,Unknown,Free,Self Referral No Documentation Required,Residents or Visitors to the Ottawa region.,English,"Ottawa, Ottawa, Ottawa"
Somali Centre For Family Services - The Walk-In Counselling Centre,Offre des services de counselling sans rendez-vous aux personnes qui éprouvent des problèmes de santé mentale.,1719 rue Bank,,Jun 15 2015  3:16:06,French,Ottawa,ON,K1V 7Z4,45.3744593,-75.6653089,613-526-2075,,,,http://www.scfsottawa.org,Mer 11h-17h *  Dernière session est de 1.5 heures avant l'heure de fermeture.,Inconnu,Gratuit,Accès sans recommandation Aucuns documents requis,Personnes dans la région d'Ottawa.,anglais,"Ottawa, Ottawa, Ottawa"
Vanier Children's Services - Community Services,"Offers community-based assessment, counselling and treatment for children and youth, and their families.",871 Trafalgar Street,,Dec 15 2015  4:27:03,English,London,ON,N5Z 1E6,42.9779634,-81.2169234,519-433-3101,,,519-433-1302,http://www.vanier.com,Mon 8:30am-8:30pm * Tue 8:30am-8:30pm * Wed 8:30am-8:30pm * Thu 8:30am-8:30pm * Fri 8:30am-4:30pm *,Partially Accessible,Free,Self Referral No Documentation Required,Children and youth 7-14 years.,"French, English, English, French","MiddlesexLondon, Middlesex"
Vanier Children's Services - Community Services,"Offre des services d'évaluation, de consultation et de traitement aux enfants, aux jeunes et à leurs familles.",871 rue Trafalgar,,Dec 15 2015  4:27:03,French,London,ON,N5Z 1E6,42.9779634,-81.2169234,519-433-3101,,,519-433-1302,http://www.vanier.com,Lun 8h30-20h30 * Mar 8h30-20h30 * Mer 8h30-20h30 * Jeu 8h30-20h30 * Ven 8h30-16h30 *,Accessible partiellement,Gratuit,Accès sans recommandation Aucuns documents requis,Enfants et jeunes de 7-14 ans.,"anglais, français","MiddlesexLondon, Middlesex"
Timmins and District Hospital - Mental Health Program - Crisis Response Team,Offers emergency in-person crisis intervention for individuals experiencing an immediate mental health crisis.,700 Ross Avenue East,,Mar 22 2016  1:48:08,English,Timmins,ON,P4N 8P2,48.4860224,-81.3131608,705-264-3003,1-888-340-3003,,,https://www.tadh.com,24/7,Wheelchair Accessible,Free,Self Referral Health Card,People ages 12 and up in the Timmins area.,"English;French, English, French",Cochrane
L'Hôpital de Timmins et du district - Programme de santé mentale - equipe d'crise,Offre des services d’intervention de crise en personne aux individus qui éprouvent une crise de santé mentale immédiate.,700 avenue Ross Est,,Mar 22 2016  1:48:08,French,Timmins,ON,P4N 8P2,48.4860224,-81.3131608,705-264-3003,1-888-340-3003,,,https://www.tadh.com,24/7,Entièrement accessible,Gratuit,Accès sans recommandation Carte santé,Personnes de 12 ans et plus dans la région de Timmins.,"anglais, français",Cochrane
Thorncliffe Neighbourhood Office - Mental Health Support Program,Offers mental counselling and referral services to community members dealing with depression or anxiety.,18 Thorncliffe Park Drive,,Jun 11 2015  5:49:00,English,East York,ON,M4H 1N7,43.704508,-79.3466955,416-421-3054,,,416-421-4269,http://www.thorncliffe.org,Mon 9am-5am * Tue 9am-5am * Wed 9am-5am * Thu 9am-5am * Fri 9am-5am *,Not applicable,Cost unknown - inquire for more information,Appointment Required Documents not specified - inquire for more information,Children and youths in the Thorncliffe community.,"Multi, English","Toronto, TorontoScarborough, TorontoYork, TorontoNorth York, TorontoEtobicoke, TorontoMississauga, PeelBrampton, PeelPickering, Durham"
Thorncliffe Neighbourhood Office - Mental Health Support Program,"Offre des services de counselling aux personne qui éprouvent des problèmes de santé mentale, de dépression et de l'anxiété.",18 promenade Thorncliffe Park,,Jun 11 2015  5:49:00,French,East York,ON,M4H 1N7,43.704508,-79.3466955,416-421-3054,,,416-421-4269,Http://www.thorncliffe.org,Lun 9h-5amh * Mar 9h-5amh * Mer 9h-5amh * Jeu 9h-5amh * Ven 9h-5amh *,Pas applicable,Coût inconnu – se renseigner pour plus d’information,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Enfants et jeunes de la communauté de Thorncliffe.,anglais,"Toronto, TorontoScarborough, TorontoYork, TorontoNorth York, TorontoEtobicoke, TorontoMississauga, PeelBrampton, PeelPickering, Durham"
Thunder Bay Counselling Centre - Counselling,"Confidential counselling services provided to individuals, groups and families",544 Winnipeg Avenue,,Jun  9 2014  2:44:05,English,Thunder Bay,ON,P7B 3S7,48.4181667,-89.2409383,807-684-1880,1-888-204-2221,,807-344-3782,http://www.tbaycounselling.com/child-youth,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Not applicable,Cost unknown - inquire for more information,Appointment Required Documents not specified - inquire for more information,Residents of Thunder Bay,"E, English","Thunder Bay, Thunder Bay"
Thunder Bay Counselling Centre - Counselling,"Offre des services de counselling confidentiel aux individus, groupes et familles.",544 avenue Winnipeg,,Jun  9 2014  2:44:05,French,Thunder Bay,ON,P7B 3S7,48.4181667,-89.2409383,807-344-3782,1-888-204-2221,,,http://www.tbaycounselling.com/child-youth,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Pas applicable,Coût inconnu – se renseigner pour plus d’information,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Résidents de Thunder Bay.,anglais,"Thunder Bay, Thunder Bay"
Timmins Family Counselling Centre - Individual Counselling,Offers individual counseling services to children and youths concerning mental health issues.,60 Wilson Avenue,Suite 18,Jun 26 2014  8:23:00,English,Timmins,ON,P4N 2S7,48.4753848,-81.337019,705-267-7333,,,705-268-6850,http://www.timminsfamilycounselling.com,Mon 8:30am-4:30am * Tue 8:30am-4:30am * Wed 8:30am-4:30am * Thu 8:30am-4:30am * Fri 8:30am-4:30am *,Not applicable,Sliding Scale,Self Referral Documents not specified - inquire for more information,Children and youths aged 12 and up. 12 and under must be accompanies by a parent or guardian.,"English, French","CochraneTimmins, Cochrane"
Centre de counselling familial de Timmins - Counselling individuel,Offre des services de counselling individuel aux enfants et jeunes ayant des problèmes de santé mentale.,60 avenue Wilson,suite 310,Jun 26 2014  8:23:00,French,Timmins,ON,P4N 2S7,48.4753848,-81.337019,705-267-7333,,,705-268-6850,http://www.timminsfamilycounselling.com,Lun 8h30-4h30am * Mar 8h30-4h30am * Mer 8h30-4h30am * Jeu 8h30-4h30am * Ven 8h30-4h30am *,Pas applicable,Échelle Mobile,Accès sans recommandation Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Enfants et jeunes de 12 ans et plus. Enfants de 12 ans et moins doivent être accompagnés d'un parent ou d'un tuteur.,"anglais, français","CochraneTimmins, Cochrane"
Timmins Family Counselling Centre - Family Counselling,"Offers counselling services to families who are dealing with mental health issues, anxiety or depression.",60 Wilson Avenue,Suite 310,Jun 26 2014  8:22:00,English,Timmins,ON,P4N 2S7,48.4753848,-81.337019,705-267-7333,,,705-268-6850,http://www.timminsfamilycounselling.com,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Not applicable,Sliding Scale,Self Referral Documents not specified - inquire for more information,Families with children ages 12 and up.,"English, French","CochraneTimmins, Cochrane"
Centre de counselling familial de Timmins - Counselling familial,"Offre des services de counselling aux familles qui éprouvent des problèmes de santé mentale, d'anxiété et de dépression.",60 avenue Wilson,suite 310,Jun 26 2014  8:22:00,French,Timmins,ON,P4N 2S7,48.4753848,-81.337019,705-267-7333,,,705-268-6850,http://www.timminsfamilycounselling.com,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Pas applicable,Échelle Mobile,Accès sans recommandation Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Familles avec les enfants de 12 ans et plus.,"anglais, français","CochraneTimmins, Cochrane"
Tropicana Community Services - Culturally Appropriate Counselling,"Offers culturally sensitive counselling and support for children, youth, individuals, and families. The program ensures that the varying values, beliefs and cultural backgrounds of clients are acknowledged and respected.",1385 Huntingwood Drive,,Jan 22 2016  7:30:06,English,Scarborough,ON,M1S 3J1,43.7981929,-79.2643433,416-439-9009,,,416-439-2414,http://www.tropicanacommunity.org,Mon 9am-5pm * Tue 10am-6pm * Wed 9am-5pm * Thu 10am-6pm * Fri 9am-4:30pm *,Wheelchair Accessible,Free,Appointment Required No Documentation Required,"Children, youth and their families.",English,"Scarborough, Toronto, Tropicana services east Toronto and parts of Durham region (ie. Pickering, Ajax, etc)."
Tropicana Community Services - Culturally Appropriate Counselling,"Offre des services de counselling et de soutien, adaptés à la culture, aux  enfants, aux jeunes et aux familles.","1385, promenade Huntingwood",,Jan 22 2016  7:30:06,French,Scarborough,ON,M1S 3J1,43.7981929,-79.2643433,416-439-9009,,,416-439-2414,http://www.tropicanacommunity.org,Lun 9h-17h * Mar 10h-18h * Mer 9h-17h * Jeu 10h-18h * Ven 9h-16h30 *,Entièrement accessible,Gratuit,Rendez-vous requis Aucuns documents requis,"Enfants, jeunes et leurs familles.",anglais,"Scarborough, Toronto"
Turning Point Youth Services - Clinical and Counselling Services,"Offers mental health and counselling services to youth and their families, including individual and family counselling, assessment, case management, referral and treatment.",95 Wellesley Street East,,Apr 15 2016  3:44:15,English,Toronto,ON,M4Y 2X9,43.6661427,-79.3789091,416-925-9250,,,416-925-9926,http://www.turningpoint.ca,Mon 8:30am-4:30pm * Tue 8:30am-8pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *,Wheelchair accessible,Free,Self Referral No Documentation Required,Youth 12-18 years and their families.,English,"Toronto, Toronto, Toronto"
Turning Point Youth Services - Clinical and Counselling Services,"Offre des services de santé mentale et de counseling aux jeunes et à leurs familles, y compris des services de counseling individuels et en famille, d'évaluation, de gestion de cas et de traitement.","95, rue Wellesley est",,Apr 15 2016  3:44:15,French,Toronto,ON,M4Y 2X9,43.6661427,-79.3789091,416-925-9250,,,416-925-9926,http://www.turningpoint.ca,Lun 8h30-16h30 * Mar 8h30-20h * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Entièrement accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Jeunes de 12-18 ans et leurs familles.,anglais,"Toronto, Toronto, Toronto"
Vanier Community Service Centre - Counselling Services,"Offers short-term counselling (6-8 sessions), and also refers to counselling services that help with specific issues, or are longer term, depending on the client's needs. *",290 Dupuis Street,,Sep 24 2014  3:58:11,English,Vanier,ON,K1L 1A2,45.435633,-75.661256,613-744-2892,,,,http://www.cscvanier.com/en/counselling,"Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  Drop in hours - Monday-Friday, 1:00pm-4:00pm.",Not applicable,Free,Drop In Documents not specified - inquire for more information,Vanier residents (K1L postal code),"English, French","Vanier, Ottawa"
Centre des services communautaires Vanier - Counselling,"Offre des services de counselling à court terme (6 à 8 sessions).  Offre aussi des références à des services de counselling plus spécifiques ou à long terme, selon les besoins du client.",290 rue Dupuis,,Sep 24 2014  3:58:11,French,Vanier,ON,K1L 1A2,45.435633,-75.661256,613-744-2892,,,613-749-2902,http://www.cscvanier.com/en/counselling/short-term-counselling,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *  Heures sans rendez-vous - 1:00pm-4:00pm.,Pas applicable,Gratuit,Aucun rendez-vous requis Documents nécessaires n'ont pas été spécifiés - se renseigner pour plus d'information,Résidents de la communauté de Vanier. (Codes postaux K1L),"anglais, français","Vanier, Ottawa, Individus dont le code postal commence par K1L."
Thunder Bay Community Health Centre - Counselling,"Offers the services of a counsellor to help individuals deal with difficulties at home, work, or with relationships. Help for survivors of trauma, abuse, anxiety or depression is available.",525 Simpson Street,,Jan 22 2016  7:17:45,English,Thunder Bay,ON,P7C 3J6,48.3911527,-89.2371984,807-622-8235,1-866-357-5454,,807-622-8235,http://www.norwestchc.org/thunder_bay.htm,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  Monday - Thursday  Walk-in Clinic  4:30 - 8:00pm    Fridays  Walk-in Clinic  1:00 - 4:00pm    Walk-in Clinic Weekends  Saturday's and Sunday's  10:00am – 3:00pm,Wheelchair accessible,Free,Registration required Health Card,Clients of Norwest Community Health Centres,"english, English","Thunder BayThunder Bay, Thunder Bay"
Thunder Bay Community Health Centre - Counselling,"Les installations communautaires de traitement ambulatoire qui offrent des services de counselling (individuel, famille, couple ou en groupe) et des services de santé mentale pour les résidents de la communauté.",525 rue Simpson,,Jan 22 2016  7:17:45,French,Thunder Bay,ON,P7C 3J6,48.3911527,-89.2371984,807-622-8235,1-866-357-5454,807-622-8235,,http://www.norwestchc.org/thunder_bay.htm,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *  Clinique sans rendez-vous  Jeudi  4:30pm-8:00pm,Entièrement accessible,Couvert par l'assurance-maladie,Accès sans recommandation Carte santé,les personnes qui vivant dans Thunder Bay,anglais,"Thunder BayThunder Bay, Thunder Bay"
Vanier Community Service Centre - In Person Crisis Intervention,"Offers crisis intervention for individuals and their families, as well as referrals and other information.",290 Dupuis Street,,Jan 22 2016  4:13:12,English,Ottawa-Vanier,ON,K1L 1A2,45.4353861,-75.6611206,613-744-2892,,,613-749-2902,www.cscvanier.com,"Mon 8:30am-4pm * Tue 8:30am-4pm * Wed 8:30am-4pm * Thu 8:30am-4pm * Fri 8:30am-4pm *  Drop-ins: Monday, Tuesday, Thursday and Friday from 8:30 am to 11:30 am. Wednesday from 4 pm to 7 pm.",Wheelchair accessible,Free,Drop In or By Appointment Proof of Address (K1L postal code),Vanier residents (K1L postal code),"English, French","Vanier, Ottawa"
Vanier Community Service Centre - In Person Crisis Intervention,"Offre des service de counselling à court terme, d'intervention de crise, des références et d'information.",290 rue Dupuis,,Jan 22 2016  4:13:12,French,Vanier,ON,K1L 1A2,45.4353861,-75.6611206,613-744-2892,,,613-749-2902,www.cscvanier.com,"Lun 8h30-16h * Mar 8h30-16h * Mer 8h30-16h * Jeu 8h30-16h * Ven 8h30-16h *  Sans rendez-vous: Lundi, mardi, jeudi et vendredi de 8h30 à 11h30. Mercredi de 16h à 19h.",Entièrement accessible,Gratuit,Avec ou sans rendez-vous Preuve d'adresse (code postal K1L),Résidents de Vanier (code postal K1L),"anglais, français","Vanier, Ottawa"
Weechi-it-te-win Family Services - Family Counselling Program,"Offers a wide range of culturally appropriate healing services to remedy, prevent and arrest further social, emotional or behavioral difficulties experienced within the context of families of the ten First Nations.",1457 Idylwild Drive,,Jul 22 2014  6:36:39,English,Fort Frances,ON,P9A 3N1,48.6097528,-93.3955214,807-274-3201,1-800-465-2911,,,http://www.weechi.ca/fcprogram2.php,,Not applicable,Free,Appointment Required No Documentation Required,"Native children, youth, and their families.",English,"Rainy RiverFort Frances, Rainy River"
Weechi-it-te-win Family Services - Family Counselling Program,"Offre une gamme des services fondés sur la culture Autochtone qui aide à prévenir les problèmes sociaux, affectifs et comportementaux dans le contexte des familles des dix Premières Nations",1457 promendade Idylwild,,Jul 22 2014  6:36:39,French,Fort Frances,ON,P9A 3N1,48.6097528,-93.3955214,807-274-3201,1-800-465-2911,,,http://www.weechi.ca/fcprogram2.php,,Pas applicable,Gratuit,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Enfants et jeunes Autochtones et leurs familles.,anglais,"Rainy RiverFort Frances, Rainy River"
Western Ottawa Community Resource Centre - Individual Counselling,"Offers counselling, information and referral services to individuals.",2 MacNeil Court,,Jun 11 2014  1:54:30,English,Kanata,ON,K2L 4H7,45.2987789,-75.8904074,613-591-3686,,613-591-0484,613-591-2501,http://www.wocrc.ca,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  Summer Hours: June to August: Monday to Friday: 8:30 a.m. to 4:00 p.m,Wheelchair accessible,Free,Appointment Required Documents not specified - inquire for more information,Resident of Western Ottawa,"Bilingual, English, French","Kanata, Ottawa"
Western Ottawa Community Resource Centre - Individual Counselling,"Offre des services de counselling, d'éducation et des recommendations aux individus.",2 cours MacNeil,,Jun 11 2014  1:54:30,French,Kanata,ON,K2L 4H7,45.2987789,-75.8904074,613-591-3686,,613-591-0484,613-591-2501,http://www.wocrc.ca,"Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *  Heures d'été: juin à août, lundi-vendredi 8:30am à 4:30pm.",Entièrement accessible,Gratuit,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Résidents dans l'ouest de Ottawa.,"anglais, français","Kanata, Ottawa"
West Lincoln Memorial Hospital - West Niagara Mental Health Team,"Offers treatment, therapy (individual or group), assessments and intervention services for individuals experiencing the first stages of psychosis and other mental health disorders.",167A Main Street East,,Oct 14 2015  4:53:17,English,Grimsby,ON,L3M 1P2,43.1883933,-79.5418552,905-309-3336,,,905-309-4446,http://www.wlmh.on.ca,Mon 9am-6pm * Tue 9am-6pm * Wed 9am-6pm * Thu 9am-6pm * Fri 9am-6pm *,Wheelchair Accessible,Free,Assessment Required Health Card,For individuals 16 years and older (14 years to 35 for early psychosis intervention).,"English, French","Grimsby, Beamsville, Vineland, Jordan Station, Grassie, Smithville"
West Lincoln Memorial Hospital - West Niagara Mental Health Team,"Offre de services de traitement, de thérapie (individuel ou en groupes), d`évaluation de d`intervention aux personnes qui éprouvent des premières stades de la psychose ou des autres problèmes de santé mentale.",167A rue Main Est,,Oct 14 2015  4:53:17,French,Grimsby,ON,L3M 1P2,43.1883933,-79.5418552,905-309-3336,,,905-309-4446,http://www.wlmh.on.ca,Lun 9h-18h * Mar 9h-18h * Mer 9h-18h * Jeu 9h-18h * Ven 9h-18h *,Entièrement accessible,Gratuit,Rendez-vous requis Carte santé,Personnes de 16 ans et plus. Personnes de 14-35 ans pour le programme de psychose),"anglais, français","Grimsby, Beamsville, Vineland, Jordan Station, Grassie, Smithville"
Wabano Centre for Aboriginal Health - Children & Youth Mental Health,Offers counselling based on core Indigenous values believed to promote resilience amongst Aboriginal children and youth.,299 Montreal Road,,Jan 25 2016  8:04:02,English,Vanier,ON,K1L 6B8,45.4373487,-75.6589864,613-748-0657,,,613-748-9364,http://www.wabano.com/mental-health/children-youth/,Mon 9am-5:30pm * Tue 9am-5:30pm * Wed 9am-5:30pm * Thu 9am-5:30pm * Fri 9am-5:30pm *,Not applicable,Free,Self Referral and Appointment Required No Documentation Required,Aboriginal children and youth 5-21.,English,"OttawaOttawa, Ottawa"
Wabano Centre for Aboriginal Health - Children & Youth Mental Health,Offre des services de counselling en fonction de valeurs indigènes qui ont pour but de promouvoir la résilience chez les enfants et jeunes autochtones.,"299, chemin Montreal",,Jan 25 2016  8:04:02,French,Vanier,ON,K1L 6B8,45.4373487,-75.6589864,613-748-0657,,,613-748-9364,http://www.wabano.com/mental-health/children-youth/,Lun 9h-17h30 * Mar 9h-17h30 * Mer 9h-17h30 * Jeu 9h-17h30 * Ven 9h-17h30 *,Pas applicable,Gratuit,Accès sans recommendation et Rendez-vous requis Aucuns documents requis,Enfants et jeunes autochtones de 5-21 ans.,anglais,"OttawaOttawa, Ottawa"
Wabaseemoong Independent Nations - Mental Health and Community Wellness,"Offers information, services and activities for several areas of mental health and substance abuse issues.",General Delivery,,Dec 23 2014  1:50:00,English,Whitedog First Nation (Wabaseemoong),ON,P0X 1P0,50.0999521,-94.976868,807-927-2061,,,807-927-2071,,Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  Closed from 12:00pm-1:00pm daily.,Not Wheelchair Accessible,Free,Self Referral Health Card,Members of Wabaseemoong (Whitedog); Independent Nations struggling with/affected by mental health/addictions issues,"English, Cree","Whitedog, Kenora, Whitedog First Nation"
Wabaseemoong Independent Nations - Mental Health and Community Wellness,Offre des services de counselling et d'information sur la sujet de santé mentale.,Poste Restante,,Dec 23 2014  1:50:00,French,Whitedog First Nation (Wabaseemoong),ON,P0X 1P0,50.0999521,-94.976868,807-927-2061,,,807-927-2071,,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Non accessible,Gratuit,Accès sans recommandation Carte Santé,Membres de la indépendant Premières Nation de Wabaseemoong (Whitedog).,"anglais, cri","Whitedog, Kenora"
Western Area Youth Services - Family Support Program,Offers services to children and youth and their families who have complex mental health needs. Support can be provided both in the home and in the community.,714 York Street,,Apr  2 2016 12:00:00,English,London,ON,N5W 2S8,42.987564,-81.2268456,519-432-2209,,,,http://www.ways.on.ca/,,Not applicable,Cost unknown - inquire for more information,Registration required Documents not specified - inquire for more information,Children and youths aged 18 and younger and their families.,English,
Western Area Youth Services - Family Support Program,"Offres des services aux enfants, jeunes et leurs familles ayant des besoins complexes de santé mentale. Des services sont offerts à la maison et dans la communauté.",714 rue York,,Apr  2 2016 12:00:00,French,London,ON,N5W 2S8,42.987564,-81.2268456,519-432-2209,,,,http://www.ways.on.ca/,,Pas applicable,Coût inconnu – se renseigner pour plus d’information,Inscription requise Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Enfants et jeunes de 18 ans et moins et leur familles.,anglais,
WAYS Mental Health Support - London Community Youth Support Program,"Provides a variety of services to youth aged 13 to 18 including: counselling and mental health support, help obtaining food, shelter and clothing, advocacy and referrals and support groups for youth and families. Provides crisis and intake support and is available by phone 24/7.",714 York Street,,Apr 20 2016  3:24:14,English,London,ON,N5W 2S8,42.987564,-81.2268456,519-432-2209,,,,http://www.ways.on.ca/community-programs/community-support.htm,"Mon 8:30am-4:30pm * Tue 8:30am-4:30pm * Wed 8:30am-4:30pm * Thu 8:30am-4:30pm * Fri 8:30am-4:30pm *  Although normal office hours are 8:30-4:30, services are provided at times convenient for the individuals served such as evenings and weekends.",Not applicable,Free,Call 519-433-0334 Documents not specified - inquire for more information,Youth 13-18 and their families,English,Middlesex
Western Area Youth Services (WAYS) -  Community Support Services,Offre des services de counselling spécialisés pour les enfants et les jeunes qui éprouvent des difficultés émotionnelles ou comportementales.,"740, rue Richmond",Bureau B,Apr 20 2016  3:24:14,French,Chatham,ON,N7M 5J5,42.987564,-81.2268456,519-354-2065 ext 2216,,,519-354-7230,http://www.ways.on.ca/community-programs/community-support.htm,Lun 8h30-16h30 * Mar 8h30-16h30 * Mer 8h30-16h30 * Jeu 8h30-16h30 * Ven 8h30-16h30 *,Pas applicable,Gratuit,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Résidents de la région de Chatham-Kent.,anglais,Middlesex
Weechi-it-te-win Family Services - Child Mental Health,"Offers community based early identification, intervention and treatment programs for children with mental health problems, and their families.",1457 Idylwild Drive,,Jul 22 2014  6:34:55,English,Fort Frances,ON,P9A 3N1,48.6097528,-93.3955214,807-274-3201,1-800-465-2911,,,http://www.weechi.ca/fcprogram2.php,,Not applicable,Free,Appointment Required Documents not specified - inquire for more information,Aboriginal children years 0-6.,English,Rainy River
Weechi-it-te-win Family Services - Child Mental Health,"Offre des services d'identification, d'intervention et de traitement aux jeunes enfants qui éprouvent des difficultés de santé mentale et leur familles.",1457 promenade Idylwild,,Jul 22 2014  6:34:55,French,Fort Frances,ON,P9A 3N1,48.6097528,-93.3955214,807-274-3201,1-800-465-2911,,,http://www.weechi.ca/fcprogram2.php,,Pas applicable,Gratuit,Rendez-vous requis Documents nécessaires n’ont pas été spécifiés – se renseigner pour plus d’information,Jeunes Autochtones de 0-6 ans et leurs familles.,anglais,Rainy River
Walk-In Counselling Clinic - Community Mental Health Agency,"Community-based outpatient facilities that offer individual, group, conjoint or family counselling services as well as other mental health services for community residents.",312 Parkdale Avenue,,Mar 22 2016 12:40:24,English,Ottawa,ON,K1Y 4X5,45.4031231,-75.7306797,613-725-3601,,,,http://walkincounselling.com/,,Wheelchair Accessible,Free,Self Referral No Documentation Required,Residence and Visitors to the Ottawa area,English,"OttawaOttawa, Ottawa"
Walk-In Counselling Clinic - Community Mental Health Agency,"Offre des services counselling en consultation externe par une approche communautaire aux individus, couples et familles qui éprouvent des problèmes de santé mentale.",312 avenue Parkdale,,Mar 22 2016 12:40:24,French,Ottawa,ON,K1Y 4X5,45.4031231,-75.7306797,613-725-3601,,,,http://walkincounselling.com/,,Entièrement accessible,Gratuit,Accès sans recommandation Aucuns documents requis,Résidents de la région d'Ottawa.,anglais,"OttawaOttawa, Ottawa"
Windsor Essex Community Health Centre - Teen Health Centre - Counselling Services,Offers confidential counselling for youth.,1361 Ouellette Avenue,,Jan 22 2016  7:23:21,English,Windsor,ON,N8X 1K5,42.3028086,-83.0298488,519-253-8481,,,,http://www.wechc.org,Mon 8:30 am-6pm * Tue 830 am-8pm * Wed 8:30 am-8pm * Thu 8:30 am-6pm * Fri 8:30 am-5pm *,Wheelchair Accessible,Free,Self Referral No Documentation Required,Youth ages 12-24.,English,"EssexWindsor, Essex"
